China;Asia;9388211;1440297825
India;Asia;2973190;1382345085
United States;North America;9147420;331341050
Indonesia;Asia;1811570;274021604
Pakistan;Asia;770880;221612785
Brazil;South America;8358140;212821986
Nigeria;Africa;910770;206984347
Bangladesh;Africa;130170;164972348
Russia;Asia;16376870;145945524
Mexico;North America;1943950;129166028
Japan;Asia;364555;126407422
Ethiopia;Africa;1000000;115434444
Philippines;Asia;298170;109830324
Egypt;Africa;995450;102659126
Vietnam;Asia;310070;97490013
DR Congo;Africa;2267050;90003954
Turkey;Europe;769630;84495243
Iran;Asia;1628550;84176929
Germany;Europe;348560;83830972
Thailand;Asia;510890;69830779
United Kingdom;Europe;241930;67948282
France;Europe;547557;65298930
Italy;Europe;294140;60446035
Tanzania;Africa;885800;60012400
South Africa;Africa;1213090;59436725
Myanmar;Asia;653290;54473253
Kenya;Africa;569140;53968739
South Korea;Asia;97230;51276977
Colombia;South America;1109500;50976248
Spain;Europe;498800;46757980
Uganda;Africa;199810;45974931
Argentina;South America;2736690;45267449
Algeria;Asia;2381740;43984569
Sudan;Africa;1765048;44019263
Ukraine;Europe;579320;43686577
Iraq;Asia;434320;40372771
Afghanistan;Asia;652860;39074280
Poland;Europe;306230;37839255
Canada;North America;9093510;37799407
Morocco;Europe;446300;36985624
Saudi Arabia;Africa;2149690;34905942
Uzbekistan;Asia;425400;33551824
Peru;South America;1280000;33050211
Angola;Africa;1246700;33032075
Malaysia;Asia;328550;32436963
Mozambique;Africa;786380;31398811
Ghana;Africa;227540;31181428
Yemen;Africa;527970;29935468
Nepal;Asia;143350;29225196
Venezuela;South America;882050;28421581
Madagascar;Africa;581795;27808395
Cameroon;Africa;472710;26655083
Côte d'Ivoire;Africa;318000;26486282
North Korea;Asia;120410;25798588
Australia;Australia;7682300;25550683
Niger;Africa;1266700;24346468
Taiwan;Asia;35410;23824369
Sri Lanka;Asia;62710;21428970
Burkina Faso;Africa;273600;20997293
Mali;Africa;1220190;20346106
Romania;Europe;230170;19214608
Malawi;Africa;94280;19211425
Chile;South America;743532;19144605
Kazakhstan;Asia;2699700;18815231
Zambia;Africa;743390;18468257
Guatemala;Africa;107160;17971382
Ecuador;Africa;248360;17688599
Syria;Asia;183630;17571053
Netherlands;Europe;33720;17141544
Senegal;Africa;192530;16816539
Cambodia;Asia;176520;16758448
Chad;Africa;1259200;16502877
Somalia;Africa;627340;15965848
Zimbabwe;Africa;386850;14899771
Guinea;Africa;245720;13191279
Rwanda;Africa;24670;13005303
Benin;Africa;112760;12175480
Burundi;Africa;25680;11948454
Tunisia;Africa;155360;11839918
Bolivia;Africa;1083300;11700207
Belgium;Europe;30280;11598451
Haiti;North America;27560;11426356
Cuba;North America;106440;11325391
South Sudan;Africa;610952;11216250
Dominican Republic;North America;48320;10866667
Czech Republic (Czechia);Europe;77240;10712481
Greece;Europe;128900;10413936
Jordan;Asia;88780;10220604
Portugal;Europe;91590;10191409
Azerbaijan;Asia;82658;10154978
Sweden;Europe;410340;10110233
Honduras;Africa;111890;9931333
United Arab Emirates;Africa;83600;9910892
Hungary;Europe;90530;9655983
Tajikistan;Asia;139960;9573310
Belarus;Europe;202910;9448772
Austria;Europe;82409;9015361
Papua New Guinea;Africa;452860;8975531
Serbia;Europe;87460;8731081
Israel;Africa;21640;8678517
Switzerland;Europe;39516;8665615
Togo;Africa;54390;8310934
Sierra Leone;Africa;72180;8004158
Hong Kong;Asia;1050;7507523
Laos;Asia;230800;7293542
Paraguay;South America;397300;7147553
Bulgaria;Europe;108560;6939018
Libya;Africa;1759540;6887247
Lebanon;Asia;10230;6819976
